"","recruit_location","zip_code"
"1","tucson",85719
"2","tucson",85721
"3","tucson",85716
"4","tucson",85726
"5","tucson",85702
"6","tucson",85703
"7","tucson",85717
"8","tucson",85720
"9","tucson",85722
"10","tucson",85723
"11","tucson",85724
"12","tucson",85725
"13","tucson",85728
"14","tucson",85731
"15","tucson",85732
"16","tucson",85733
"17","tucson",85734
"18","tucson",85740
"19","tucson",85744
"20","tucson",85751
"21","tucson",85752
"22","tucson",85754
"23","tucson",85775
"24","tucson",85701
"25","tucson",85705
"26","tucson",85712
"27","tucson",85709
"28","tucson",85711
"29","tucson",85718
"30","tucson",85713
"31","tucson",85714
"32","tucson",85745
"33","tucson",85708
"34","tucson",85704
"35","tucson",85715
"36","tucson",85750
"37","tucson",85710
"38","tucson",85741
"39","tucson",85707
"40","tucson",85730
"41","tucson",85737
"42","tucson",85652
"43","tucson",85749
"44","tucson",85706
"45","tucson",85757
"46","tucson",85756
"47","tucson",85743
"48","tucson",85748
"49","tucson",85742
"50","tucson",85746
"51","tucson",85619
"52","tucson",85755
"53","tucson",85747
"54","tucson",85739
"55","tucson",85738
"56","tucson",85654
"57","tucson",85629
"58","tucson",85658
"59","tucson",85735
"60","tucson",85641
"61","tucson",85623
"62","tucson",85622
"63","tucson",85614
"64","tucson",85653
"65","tucson",85145
"66","tucson",85618
"67","tucson",85602
"68","tucson",85631
"69","tucson",85637
"70","tucson",85645
"71","tucson",85736
"72","tucson",85640
"73","tucson",85646
"74","tucson",85141
"75","tucson",85192
"76","tucson",85627
"77","tucson",85630
"78","tucson",85633
"79","tucson",85601
"80","tucson",85611
"81","tucson",85616
"82","tucson",85648
"83","tucson",85131
"84","tucson",85135
"85","tucson",85621
"86","tucson",85609
"87","tucson",85123
"88","tucson",85132
"89","tucson",85624
"90","tucson",85613
"91","tucson",85137
"92","tucson",85191
"93","tucson",85639
"94","tucson",85670
"95","miami",33146
"96","miami",33114
"97","miami",33124
"98","miami",33233
"99","miami",33143
"100","miami",33222
"101","miami",33234
"102","miami",33133
"103","miami",33134
"104","miami",33255
"105","miami",33155
"106","miami",33145
"107","miami",33135
"108","miami",33144
"109","miami",33256
"110","miami",33283
"111","miami",33296
"112","miami",33156
"113","miami",33206
"114","miami",33126
"115","miami",33129
"116","miami",33125
"117","miami",33130
"118","miami",33173
"119","miami",33165
"120","miami",33128
"121","miami",33122
"122","miami",33191
"123","miami",33231
"124","miami",33131
"125","miami",33188
"126","miami",33195
"127","miami",33197
"128","miami",33238
"129","miami",33239
"130","miami",33242
"131","miami",33243
"132","miami",33245
"133","miami",33247
"134","miami",33257
"135","miami",33265
"136","miami",33266
"137","miami",33269
"138","miami",33299
"139","miami",33151
"140","miami",33152
"141","miami",33153
"142","miami",33163
"143","miami",33164
"144","miami",33101
"145","miami",33102
"146","miami",33111
"147","miami",33112
"148","miami",33116
"149","miami",33119
"150","miami",33136
"151","miami",33158
"152","miami",33174
"153","miami",33142
"154","miami",33149
"155","miami",33176
"156","miami",33199
"157","miami",33198
"158","miami",33172
"159","miami",33132
"160","miami",33010
"161","miami",33127
"162","miami",33166
"163","miami",33192
"164","miami",33109
"165","miami",33139
"166","miami",33183
"167","miami",33175
"168","miami",33137
"169","miami",33157
"170","miami",33184
"171","miami",33147
"172","miami",33011
"173","miami",33017
"174","miami",33002
"175","miami",33013
"176","miami",33150
"177","miami",33186
"178","miami",33182
"179","miami",33012
"180","miami",33140
"181","miami",33138
"182","miami",33189
"183","miami",33193
"184","miami",33106
"185","miami",33177
"186","miami",33190
"187","miami",33167
"188","miami",33185
"189","miami",33178
"190","miami",33194
"191","miami",33141
"192","miami",33016
"193","miami",33261
"194","miami",33168
"195","miami",33054
"196","miami",33014
"197","miami",33161
"198","miami",33181
"199","miami",33154
"200","miami",33032
"201","miami",33015
"202","miami",33162
"203","miami",33018
"204","miami",33169
"205","miami",33055
"206","miami",33056
"207","miami",33170
"208","miami",33187
"209","miami",33039
"210","miami",33160
"211","miami",33179
"212","miami",33280
"213","miami",33033
"214","miami",33025
"215","miami",33180
"216","miami",33027
"217","miami",33023
"218","miami",33009
"219","miami",33008
"220","miami",33031
"221","miami",33029
"222","miami",33196
"223","miami",33028
"224","miami",33026
"225","miami",33024
"226","miami",33021
"227","miami",33022
"228","miami",33081
"229","miami",33082
"230","miami",33083
"231","miami",33084
"232","miami",33090
"233","miami",33092
"234","miami",33020
"235","miami",33019
"236","miami",33330
"237","miami",33035
"238","miami",33329
"239","miami",33328
"240","miami",33314
"241","miami",33030
"242","miami",33331
"243","miami",33004
"244","miami",33312
"245","miami",33315
"246","miami",33324
"247","miami",33336
"248","miami",33332
"249","miami",33317
"250","miami",33325
"251","miami",33388
"252","miami",33326
"253","miami",33316
"254","miami",33337
"255","miami",33302
"256","miami",33303
"257","miami",33307
"258","miami",33310
"259","miami",33318
"260","miami",33320
"261","miami",33335
"262","miami",33338
"263","miami",33339
"264","miami",33340
"265","miami",33345
"266","miami",33346
"267","miami",33349
"268","miami",33394
"269","miami",33348
